0,0,0.33927,0,0
0.72435,1.1365,1.9407,5.3992,4.6477
0.1154,0.094875,0.10876,0.22285,0.082049
5.4498,9.598,9.4565,7.037,8.2144
0,0.25835,0.34552,0,0
0,0.060157,0.26818,0,0
3.9697,5.6069,4.2586,4.3931,9.7391
0.024304,0.034255,0,0,0
0,0,0,0,0
95.81,0.47147,2.3772,22.989,1.7434
0.84893,0.13409,0.055179,1.1872,0.080282
0.021421,0.020127,0,0.11819,0
0.014013,0,0,0,0
0.014459,0,0.05451,0.03989,0
0.03471,0.032614,0.058157,0.025535,0.014102
