0,1,2,3,4,5,6,7,8,9,10
0.11195,0.38685,0,0.26264,0.045979,0.14743,0,0.10123,0.053636,0.068943,0.094167
0.32597,0.083439,0.218,0.28405,0.025502,0.061325,0.020362,0.1895,0.10412,0.076476,0.12404
10.877,11.704,11.206,16.221,7.1544,15.702,17.44,6.0892,8.1621,17.639,8.0847
39.745,21.381,36.026,14.865,31.817,8.0123,12.051,34.822,39.727,14.424,47.332
10.988,11.659,11.367,10.706,9.0861,10.728,10.934,13.559,12.259,9.3505,12.802
7.2936,5.8417,5.5462,5.9365,7.7504,5.5106,4.9719,7.3167,8.7149,6.6549,7.5447
8.8315,8.475,9.1099,8.0956,8.2546,10.052,9.2469,7.2506,7.0702,8.5371,8.2857
0,0,0,0,0,0,0,0.019658,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.054085,0.1246,0.11253,0.25378,0.26657,0,0.070948,0.19564,0.15548,0.13323,0.13649
3.5056,2.3725,3.1395,1.9483,4.8534,2.3746,2.4768,3.6941,4.1482,1.6753,4.5936
0,0,0,0.073649,0,0,0.10295,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.061494,0,0,0,0.050514,0,0.080667,0,0,0,0
0,0,0,0,0,0,0,0.054636,0,0,0
0.062175,0,0.12936,0.058348,0,0,0,0,0,0.15316,0
0.10434,0.02003,0.027135,0.073435,0.021427,0,0.034217,0.023588,0.024995,0.064256,0
0,0.060478,0,0.14782,0,0,0.10331,0,0,0,0
0.084065,0.064555,0.087453,0,0,0.44283,0,0,0,0.31063,0
41.745,40.473,43.237,48.055,40.451,55.205,43.363,40.354,46.501,47.338,43.054
1.8847,1.6227,1.01,2.4655,0.89139,1.8051,2.0228,0.72306,0.60201,1.829,0.96084
2.9281,4.2741,8.5932,6.2229,9.4575,10.03,5.0442,10.267,13.478,8.9814,12.584
1.3521,2.4712,5.0638,3.959,4.8871,6.4103,2.6251,4.9887,7.5927,4.9963,6.1874
0.02453,0.075349,0,0.1151,0,0,0,0,0,0,0
0.019654,0.015093,0,0.036889,0,0,0.077347,0,0,0.012104,0
0,0,0,0,0,0,0,0,0,0,0
91.033,63.555,78.627,62.337,90.246,69.725,71.56,69.331,69.287,64.139,83.117
0.21791,0,0,0.409,0.35801,0,0,0.19706,0.41764,0.26841,0
57.357,41.785,44.602,48.508,34.563,32.92,34.423,122.14,58.59,28.135,42.348
0.10981,0.016865,0.091389,0.061831,0.054122,0.014461,0.057619,0.11916,0.14732,0.094678,0.055422
0,0.04309,0.058375,0,0,0,0.036804,0.025372,0,0,0
0.020879,0,0,0,0.034303,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.045161,0,0,0,0,0,0,0,0.086552,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3.1473,2.8023,2.9426,2.3404,5.0528,1.4375,1.4006,3.7179,3.9092,1.3936,4.7922
0,0,0.20664,0,0,0,0,0.35924,0.19034,0,0.33417
32.995,36.335,33.82,32.117,37.404,21.51,35.135,45.365,36.772,27.665,49.557
0.54355,0.29464,0.6985,0.75013,0.7354,0.21053,0.33554,0.66501,0.7966,0.27567,1.022
0,0,0,0,0,0,0,0.16238,0,0,0
0,0.14013,0,0,0,0,0,0.11001,0,0,0
0,0,0,0,0,0.044922,0.044747,0,0,0,0
0,0.098072,0,0.059925,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.050756,0,0,0,0,0,0,0
0,0,0,0.11934,0,0,0,0,0,0.15663,0
0,0,0,0,0,0,0,0,0,0,0
300.53,201.71,282.56,201.47,334.78,187.25,176.43,193.46,157.04,269.16,348.83
0.090505,0.11583,0.21969,0.48129,0,0.19865,0.1583,0.081844,0,0.52022,0.076131
0.098444,0.41579,0.66568,0.13858,0.16173,0.12964,0.25828,0.26707,0.047167,0.24251,0.16562
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.028948,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.017543,0.015825,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.065943,0,0,0
0.949,0.11804,1.2723,0.19442,0.23881,0.070409,1.017,0.072523,0.11207,0.46509,0.30919
0,0,0,0,0,0,0,0,0,0,0
1.4068,3.7091,2.1598,2.8285,1.2957,2.5095,4.2222,1.1874,0.97226,4.2742,1.3591
0,0,0,0.19149,0.16761,0,0,0.18452,0,0,0
0.25762,1.2365,1.5745,2.6896,0.68777,3.4775,2.6613,0.20385,0.12343,2.8162,0.78556
0,0,0,0,0,0,0,0,0,0,0
14.778,22.194,17.593,17.032,12.503,12.374,19.812,11.983,10.841,20.362,11.896
0,0.12053,0,0,0,0,0,0,0,0,0
11.173,12.526,13.401,15.871,13.003,8.9814,9.8029,9.6625,7.5971,9.0095,14.93
0,0,0,0,0,0,0,0,0,0,0
0,0,0.06596,0,0.052084,0,0,0,0,0,0
2.6673,1.5519,1.8963,1.186,1.6074,1.2195,1.4592,2.1487,2.1486,1.2553,2.1212
0.64244,0.21584,0.083542,0.30145,0.09895,0.52878,0.15801,0.03631,0.038476,0.19782,0.067551
2.6162,2.5174,1.8699,1.9299,2.5221,2.0343,2.1984,1.582,2.0227,2.4936,2.1576
2.4734,3.2448,2.9399,2.1328,1.2788,2.2073,3.0027,2.6831,1.6477,3.8282,2.6966
0.024624,0.01891,0,0,0,0,0.032302,0,0.023597,0.03033,0
0,0,0,0,0,0,0,0,0,0,0
0.19123,0.58739,0.49733,0.42621,0.47125,1.6369,0.5017,0.51878,0.50392,0.73605,0.48257
18.632,36.73,25.047,29.98,18.537,37.781,36.639,27.576,17.522,35.514,23.339
0,0,0,0,0,0,0,0,0,0,0
4.4246,11.26,7.5784,10.882,4.7376,12.246,11.573,4.8998,6.466,9.4028,6.6983
2.3822,6.8294,4.7361,4.9679,2.3047,7.7383,6.8053,2.7765,3.5509,5.2814,4.2303
7.7655,7.0439,7.2562,5.7713,7.435,7.3096,6.2328,6.8417,6.9752,7.5641,6.9121
0.35708,0.19587,0.053068,0.23936,0.29333,0.067179,0.13383,0.04613,0.048882,0.12566,0.17164
2.3955,2.3106,2.1324,2.1521,1.9278,2.7186,2.8932,1.4882,1.7029,2.7586,1.8102
0.42217,0.054032,0,0.066031,0,0.37064,0,0.25451,0,0,0.059187
0,0,0,0,0,0,0,0,0,0,0
2.1107,2.7673,1.6602,2.174,2.1144,1.8983,2.8363,2.0018,1.5786,2.6631,1.4723
3.415,4.304,5.912,9.6878,1.2206,6.7632,4.7875,4.7384,2.4731,4.5274,3.9472
0.094706,0,0,0,0,0,0,0,0,0,0
12.74,14.357,14.417,11.661,11.194,12.802,12.479,19.674,12.113,10.889,13.821
0.066603,0,0,0,0,0.087711,0,0.060229,0,0.082036,0
